timestamp,open,high,low,close,volume,coin
2021-11-18 00:00:00+00:00,102.59,105.0,92.2,101.48,14151.55,AVAX
2021-11-19 00:00:00+00:00,101.48,113.49,96.07,112.24,14473.69,AVAX
2021-11-20 00:00:00+00:00,112.05,130.8,111.56,125.5,33628.82,AVAX
2021-11-21 00:00:00+00:00,125.98,147.82,123.24,128.51,52926.81,AVAX
2021-11-22 00:00:00+00:00,128.64,165.0,126.12,134.9,49140.95,AVAX
2021-11-23 00:00:00+00:00,135.04,139.53,122.06,123.72,26004.5,AVAX
2021-11-24 00:00:00+00:00,123.71,125.73,112.61,115.16,25908.2,AVAX
2021-11-25 00:00:00+00:00,115.19,130.0,114.33,119.39,30426.84,AVAX
2021-11-26 00:00:00+00:00,119.38,119.74,101.36,104.41,28876.95,AVAX
2021-11-27 00:00:00+00:00,104.36,118.53,103.34,113.49,20240.58,AVAX
2021-11-28 00:00:00+00:00,113.13,113.88,100.83,110.68,23068.7,AVAX
2021-11-29 00:00:00+00:00,110.58,120.55,109.22,120.55,15611.03,AVAX
2021-11-30 00:00:00+00:00,120.53,125.29,114.09,120.54,46017.77,AVAX
2021-12-01 00:00:00+00:00,120.76,127.47,117.4,119.73,34694.36,AVAX
2021-12-02 00:00:00+00:00,119.6,119.74,107.07,108.61,15104.63,AVAX
2021-12-03 00:00:00+00:00,108.0,121.05,100.89,112.43,28414.34,AVAX
2021-12-04 00:00:00+00:00,112.04,117.38,90.0,105.0,17462.29,AVAX
2021-12-05 00:00:00+00:00,105.0,114.0,89.88,98.44,7353.06,AVAX
2021-12-06 00:00:00+00:00,98.44,99.04,77.03,93.04,26255.25,AVAX
2021-12-07 00:00:00+00:00,92.93,96.67,88.0,89.66,18164.04,AVAX
2021-12-08 00:00:00+00:00,89.43,93.25,86.37,93.25,12008.47,AVAX
2021-12-09 00:00:00+00:00,93.27,94.58,83.41,85.34,16184.45,AVAX
2021-12-10 00:00:00+00:00,85.58,91.65,80.39,80.58,23511.36,AVAX
2021-12-11 00:00:00+00:00,80.61,87.06,78.81,86.51,22401.34,AVAX
2021-12-12 00:00:00+00:00,86.53,88.95,83.01,88.04,12261.06,AVAX
2021-12-13 00:00:00+00:00,88.35,89.93,75.61,79.27,36757.93,AVAX
2021-12-14 00:00:00+00:00,78.89,87.39,76.4,87.25,23770.25,AVAX
2021-12-15 00:00:00+00:00,87.13,105.65,86.1,101.28,66862.13,AVAX
2021-12-16 00:00:00+00:00,101.34,109.99,98.07,98.21,40517.86,AVAX
2021-12-17 00:00:00+00:00,98.5,116.19,98.25,110.83,50633.88,AVAX
2021-12-18 00:00:00+00:00,111.47,117.37,105.55,116.0,19604.88,AVAX
2021-12-19 00:00:00+00:00,115.99,116.63,106.77,107.36,14242.51,AVAX
2021-12-20 00:00:00+00:00,107.48,116.21,101.0,113.17,41602.09,AVAX
2021-12-21 00:00:00+00:00,113.62,124.04,110.66,123.13,35296.83,AVAX
2021-12-22 00:00:00+00:00,123.86,127.34,115.59,116.47,20709.15,AVAX
2021-12-23 00:00:00+00:00,116.57,125.0,116.26,121.3,13520.16,AVAX
2021-12-24 00:00:00+00:00,121.3,124.59,113.28,114.8,16423.16,AVAX
2021-12-25 00:00:00+00:00,114.84,116.87,112.36,115.3,11213.15,AVAX
2021-12-26 00:00:00+00:00,114.85,117.97,109.41,115.19,18675.19,AVAX
2021-12-27 00:00:00+00:00,115.5,120.89,113.42,113.42,15907.1,AVAX
2021-12-28 00:00:00+00:00,113.41,116.69,104.37,106.94,18589.8,AVAX
2021-12-29 00:00:00+00:00,107.14,110.54,102.41,103.03,14468.41,AVAX
2021-12-30 00:00:00+00:00,103.33,105.44,98.21,101.91,13614.01,AVAX
2021-12-31 00:00:00+00:00,101.94,112.09,100.33,109.5,17109.3,AVAX
2022-01-01 00:00:00+00:00,109.58,114.52,108.56,114.17,6270.57,AVAX
2022-01-02 00:00:00+00:00,114.08,117.56,112.09,113.06,7560.91,AVAX
2022-01-03 00:00:00+00:00,113.04,114.03,106.02,108.03,8421.86,AVAX
2022-01-04 00:00:00+00:00,108.44,109.29,102.93,103.03,19773.08,AVAX
2022-01-05 00:00:00+00:00,103.13,106.61,90.53,97.47,21796.45,AVAX
2022-01-06 00:00:00+00:00,97.47,97.96,91.05,95.23,20375.19,AVAX
2022-01-07 00:00:00+00:00,95.05,95.05,85.09,86.63,23933.22,AVAX
2022-01-08 00:00:00+00:00,86.91,89.61,79.24,83.82,23021.67,AVAX
2022-01-09 00:00:00+00:00,83.81,91.92,82.47,89.13,21724.75,AVAX
2022-01-10 00:00:00+00:00,89.13,90.94,80.3,84.5,30879.01,AVAX
